unix,minute,test_progress,final_avg_TEMP,mt1_avg_TEMP,mt2_avg_TEMP
1544033340,70,0.3888888888888889,33.00029976851852,30.34341898148148,32.82825231481481
1544033400,71,0.3944444444444444,33.0540474537037,30.430622685185188,32.9197824074074
1544033460,72,0.4,33.10466319444444,30.519392361111112,33.02257986111112
1544033520,73,0.4055555555555555,33.20934143518519,30.605019675925927,33.1444988425926
1544033580,74,0.4111111111111111,33.298939814814815,30.68567476851852,33.214320601851846
1544033640,75,0.4166666666666667,33.420458333333336,30.77707986111111,33.29932986111111
1544033700,76,0.4222222222222222,33.51802546296296,30.863026620370366,33.371790509259256
1544033760,77,0.4277777777777777,33.60884953703704,30.95097685185185,33.454483796296294
1544033820,78,0.4333333333333333,33.695913194444444,31.030965277777774,33.527243055555566
1544033880,79,0.4388888888888889,33.76905671296296,31.107516203703707,33.67555787037036
1544033940,80,0.4444444444444444,33.86419328703704,31.19169212962963,33.7123275462963
