unix,minute,test_progress,final_avg_BVP,mt1_avg_BVP,mt2_avg_BVP
1544033580,74,0.4111111111111111,-0.1160682291666667,-0.0021593749999999,-0.0315182291666666
1544033700,76,0.4222222222222222,0.0232072916666667,-0.000390625,0.0362091145833332
1544033820,78,0.4333333333333333,0.2211122395833333,0.0051648437499999,-0.13555234375
1544033940,80,0.4444444444444444,-0.0155729166666667,-0.0052375,-0.0217200520833331
1544034060,82,0.4555555555555555,0.0151911458333332,0.00760546875,0.1629734374999998
1544034180,84,0.4666666666666667,0.2776674479166667,-0.0105864583333333,-0.20817109375
1544034300,86,0.4777777777777778,0.1158463541666666,0.0011859374999999,0.1004164062500002
1544034420,88,0.4888888888888889,0.0570669270833332,0.0036828125,0.0060231770833331
1544034540,90,0.5,0.3226299479166666,-0.00511484375,0.1081010416666666
1544034660,92,0.5111111111111111,0.1125473958333333,0.0200697916666666,-0.1492697916666668
1544034780,94,0.5222222222222223,-0.1787770833333336,0.0080317708333333,0.1029471354166666
1544034900,96,0.5333333333333333,0.0081085937499999,-0.0176247395833333,-0.0451106770833331
1544035020,98,0.5444444444444444,-0.2433638020833333,-0.0124606770833332,0.1089424479166665
1544035140,100,0.5555555555555556,0.2171278645833333,0.006796875,-0.2439934895833334
1544035260,102,0.5666666666666667,-0.0701296875,0.0112802083333333,-0.0719041666666666
1544035380,104,0.5777777777777777,0.00632265625,-0.0182390624999999,0.1545927083333333
1544035500,106,0.5888888888888889,0.0025380208333331,0.0082877604166666,-0.2088786458333334
1544035620,108,0.6,0.0527106770833332,-0.0011377604166666,0.1322885416666667
1544035740,110,0.6111111111111112,-0.0254309895833333,0.022071875,0.2076669270833334
1544035860,112,0.6222222222222222,-0.0351880208333332,-0.0194166666666666,-0.1897729166666665
1544035980,114,0.6333333333333333,0.0359354166666666,-0.0022731770833333,-0.0094674479166667
1544036100,116,0.6444444444444445,0.0244408854166665,-0.0007661458333333,0.1536151041666666
1544036220,118,0.6555555555555556,0.1448940104166666,0.0018932291666666,-0.3031838541666666
1544036340,120,0.6666666666666666,0.17199921875,0.0074252604166666,0.1165955729166666
1544036460,122,0.6777777777777778,0.2455968749999999,-0.0385166666666666,0.1352416666666665
1544036580,124,0.6888888888888889,-0.1060869791666666,0.0297953124999999,0.1052911458333333
1544036700,126,0.7,0.0133270833333332,-0.0016010416666666,0.0271640624999999
1544036820,128,0.7111111111111111,-0.0709721354166666,-0.0129627604166666,-0.1005309895833331
1544036940,130,0.7222222222222222,0.0795190104166667,0.0225427083333333,-0.0079406249999999
1544037060,132,0.7333333333333333,-0.1612466145833332,-0.0096877604166666,-0.0487953125
1544037180,134,0.7444444444444445,-0.1802661458333335,0.0228760416666666,-0.0881119791666666
1544037300,136,0.7555555555555555,0.0629742187499999,-0.0207723958333333,0.0096499999999998
1544037420,138,0.7666666666666667,0.0432169270833333,0.0005578125,0.09660546875
1544037540,140,0.7777777777777778,-0.0416026041666666,-0.0010434895833333,-0.0819302083333333
1544037660,142,0.7888888888888889,0.1052098958333334,-0.0009955729166666,0.1320789062499999
1544037780,144,0.8,0.1642294270833334,0.0094828125,-0.0475492187499999
1544037900,146,0.8111111111111111,0.0508903645833333,-0.0054554687499999,-0.0314989583333332
