unix,s1_mt1_TEMP,minute,s2_mt1_TEMP,s3_mt1_TEMP,s4_mt1_TEMP,s5_mt1_TEMP,s6_mt1_TEMP,s7_mt1_TEMP,s8_mt1_TEMP,s9_mt1_TEMP,s10_mt1_TEMP,test_progress,avg_TEMP
1539440180,28.33025,29,29.791666666666668,28.581083333333332,26.888916666666667,29.000833333333333,29.53441666666667,26.80683333333333,28.228083333333334,28.199166666666667,27.509916666666665,0.32222222222222224,28.287116666666662
1539440240,28.350083333333334,30,30.02241666666667,28.71475,26.82766666666667,29.02766666666667,29.649583333333332,26.846166666666665,28.330583333333333,28.25433333333333,27.51066666666667,0.3333333333333333,28.35339166666667
1539440300,28.3635,31,30.261083333333332,28.84125,26.719833333333334,29.031166666666667,29.758249999999997,26.863916666666668,28.417250000000003,28.3045,27.504,0.34444444444444444,28.406475
1539440360,28.380333333333336,32,30.490333333333336,28.92508333333333,26.628833333333333,29.02041666666667,29.858999999999998,26.89525,28.514,28.3515,27.490499999999997,0.35555555555555557,28.455525
1539440420,28.415000000000003,33,30.739583333333332,28.995,26.58025,29.032333333333334,29.944,26.91525,28.614583333333332,28.3795,27.45875,0.36666666666666664,28.507425
1539440480,28.46708333333333,34,30.994833333333336,29.07225,26.54275,29.05708333333333,30.040833333333335,26.93166666666667,28.706333333333337,28.407916666666665,27.428833333333333,0.37777777777777777,28.56495833333333
1539440540,28.516833333333334,35,31.213250000000002,29.16525,26.523666666666667,29.07625,30.139583333333334,26.93391666666667,28.800166666666666,28.45175,27.450750000000003,0.3888888888888889,28.62714166666667
1539440600,28.547250000000002,36,31.385416666666668,29.247166666666665,26.530916666666666,29.09466666666667,30.24458333333333,26.930833333333332,28.880083333333335,28.490166666666664,27.474249999999998,0.4,28.682533333333332
1539440660,28.571916666666667,37,31.56291666666667,29.31133333333333,26.555583333333335,29.105,30.374666666666666,26.916249999999998,28.949333333333335,28.51966666666667,27.515416666666667,0.4111111111111111,28.738208333333336
1539440720,28.582666666666668,38,31.759999999999998,29.388333333333332,26.571583333333333,29.111916666666666,30.498833333333334,26.919666666666668,29.003833333333333,28.542583333333333,27.575750000000003,0.4222222222222222,28.795516666666668
1539440780,28.6075,39,31.957916666666666,29.447583333333334,26.545583333333337,29.140249999999998,30.627833333333335,26.937,29.046499999999998,28.564583333333335,27.610666666666663,0.43333333333333335,28.84854166666667
1539440840,28.639583333333334,40,32.145833333333336,29.4965,26.502916666666668,29.173166666666667,30.733999999999998,26.94725,29.07991666666667,28.58533333333333,27.640499999999996,0.4444444444444444,28.8945
1539440900,28.670250000000003,41,32.325,29.55891666666667,26.462749999999996,29.193333333333335,30.82133333333333,26.953916666666665,29.11341666666667,28.608833333333333,27.666583333333335,0.45555555555555555,28.93743333333333
1539440960,28.67591666666667,42,32.481500000000004,29.596666666666668,26.451666666666664,29.199,30.891083333333334,26.96108333333333,29.155250000000002,28.62858333333333,27.702583333333333,0.4666666666666667,28.974333333333334
1539441020,28.685833333333335,43,32.613458333333334,29.601999999999997,26.4595,29.186083333333332,30.9575,26.958333333333332,29.207333333333334,28.626083333333334,27.742,0.4777777777777778,29.003812500000002
1539441080,28.696166666666667,44,32.727291666666666,29.580166666666667,26.487666666666666,29.151083333333336,31.02325,26.94833333333333,29.271666666666665,28.616916666666665,27.781,0.4888888888888889,29.028354166666666
1539441140,28.684,45,32.8825,29.55725,26.481749999999998,29.1245,31.083333333333332,26.946666666666665,29.332916666666666,28.63125,27.81175,0.5,29.05359166666667
1539441200,28.656916666666667,46,33.019,29.542166666666667,26.475666666666665,29.113666666666667,31.136833333333335,26.9615,29.393500000000003,28.644,27.842916666666667,0.5111111111111111,29.07861666666667
1539441260,28.604916666666668,47,33.11366666666667,29.537333333333333,26.475666666666665,29.107000000000003,31.18091666666667,26.9915,29.451,28.641000000000002,27.865583333333333,0.5222222222222223,29.096858333333337
1539441320,28.56475,48,33.14595833333333,29.537583333333334,26.4665,29.13125,31.224750000000004,27.02691666666667,29.49775,28.642666666666667,27.891583333333337,0.5333333333333333,29.112970833333332
