unix,s1_final_HR,minute,s2_final_HR,s3_final_HR,s4_final_HR,s5_final_HR,s6_final_HR,s7_final_HR,s8_final_HR,s9_final_HR,s10_final_HR,test_progress,avg_HR
1544030281,113.8235,19,106.76683333333334,75.548,77.27833333333334,113.22916666666667,67.04416666666667,78.1845,91.61383333333333,84.53733333333334,83.36816666666667,0.10555555555555556,89.13938333333331
1544030341,109.691,20,107.25466666666667,74.52066666666666,79.48783333333334,116.22583333333334,70.59200000000001,90.8245,94.1705,86.6295,108.845,0.1111111111111111,93.82415
1544030401,104.45416666666667,21,108.49483333333333,87.975,79.01299999999999,104.029,85.33366666666666,108.16483333333333,93.19616666666667,85.71833333333333,83.60083333333334,0.11666666666666667,93.99798333333334
1544030461,91.15616666666666,22,108.137,68.93183333333333,66.87066666666666,103.51633333333332,87.21499999999999,94.9835,83.39416666666666,86.33483333333334,81.239,0.12222222222222222,87.17785
1544030521,99.07766666666666,23,110.26683333333334,65.17516666666667,61.5875,100.86566666666666,77.53733333333334,83.31183333333334,76.98049999999999,83.87349999999999,82.46383333333333,0.12777777777777777,84.11398333333332
1544030581,97.12716666666667,24,114.25766666666667,93.95933333333333,59.80083333333334,76.54616666666668,78.12016666666666,76.85166666666667,72.91566666666667,85.68733333333333,81.80116666666666,0.13333333333333333,83.70671666666667
1544030641,86.87283333333333,25,96.8425,116.26583333333333,82.98666666666666,80.11116666666666,79.91033333333333,76.66366666666666,77.4145,85.38316666666667,71.92216666666667,0.1388888888888889,85.43728333333334
1544030701,80.34883333333333,26,77.69433333333333,103.33583333333333,81.9365,80.15816666666666,72.235,75.163,75.79683333333334,87.38266666666667,83.96866666666666,0.14444444444444443,81.80198333333331
1544030761,73.50333333333333,27,90.60116666666666,93.34833333333333,72.42683333333333,89.91216666666666,75.83633333333334,83.85766666666667,77.77616666666667,82.68299999999999,79.15383333333332,0.15,81.90988333333333
1544030821,82.71433333333333,28,95.75666666666666,92.74499999999999,92.56983333333332,95.32116666666667,75.86316666666667,103.712,69.38533333333334,81.49416666666666,76.72716666666666,0.15555555555555556,86.62888333333333
1544030881,91.1965,29,78.89833333333333,87.03016666666667,77.2715,84.577,70.92933333333333,138.765,74.61483333333334,85.3355,77.49066666666666,0.16111111111111112,86.61088333333333
1544030941,73.46833333333333,30,105.40633333333334,89.34716666666667,101.84433333333332,86.98299999999999,70.20016666666668,99.65450000000001,101.86883333333334,84.696,80.18916666666668,0.16666666666666666,89.36578333333333
1544031001,89.94916666666667,31,119.58566666666667,78.00866666666667,94.7785,94.81083333333332,73.10533333333333,70.52066666666666,76.06033333333333,87.262,83.47816666666667,0.17222222222222222,86.75593333333333
1544031061,97.97666666666667,32,117.65916666666666,80.856,89.258,101.52250000000001,72.21816666666668,69.21683333333334,66.19233333333334,91.14899999999999,78.31983333333332,0.17777777777777778,86.43684999999999
