unix,s1_final_BVP,minute,s2_final_BVP,s3_final_BVP,s4_final_BVP,s5_final_BVP,s6_final_BVP,s7_final_BVP,s8_final_BVP,s9_final_BVP,s10_final_BVP,test_progress,avg_BVP
1544029800,-0.39292968749999985,11,-0.08119531250000005,-0.3128671874999998,-0.23753124999999997,0.28354947916666684,0.6099166666666666,0.36507552083333344,-0.2754166666666667,-0.18937760416666674,0.8200625000000001,0.06111111111111111,0.05892864583333339
1544029860,0.21534375000000008,12,-0.09198177083333346,0.22306510416666664,0.03132812500000005,-0.027460937500000115,-0.4469557291666666,-0.05728385416666666,-0.0008515625000000397,0.24070833333333327,-0.7948125000000001,0.06666666666666667,-0.0708901041666667
1544029920,-0.2803932291666667,13,-0.37117187499999993,-0.13649218749999995,0.2065755208333338,0.02287760416666697,0.11339062499999991,-0.06325520833333285,0.15182291666666667,-0.04841666666666664,-0.1696432291666667,0.07222222222222222,-0.05747057291666653
1544029980,0.21101822916666693,14,0.1322630208333332,-0.06282291666666667,-0.7724609375000004,0.17712760416666698,-0.08457812500000005,-0.05660937499999989,-0.21080729166666679,-0.08252864583333326,0.1848307291666668,0.07777777777777778,-0.056456770833333336
1544030040,0.02134114583333339,15,0.32891666666666663,0.0648463541666667,-0.13275000000000003,-0.12178906250000023,-0.08600781249999988,0.008697916666666765,0.1417109375,-0.007119791666666645,-0.021687500000000526,0.08333333333333333,0.019615885416666617
1544030100,0.06069531250000004,16,-0.07822916666666653,0.8667265624999999,0.2830338541666666,-0.015158854166666676,-0.0639817708333334,0.1364609375,-0.03368750000000009,0.7165104166666668,0.2324453124999999,0.08888888888888889,0.21048151041666668
1544030160,-0.10606249999999999,17,-0.12188281250000002,-0.5204218749999993,-0.44458333333333294,-0.057169270833333445,0.5514348958333334,0.5687369791666671,-0.17354427083333326,-0.5301432291666666,-0.5495494791666661,0.09444444444444444,-0.1383184895833331
1544030220,0.1278072916666667,18,0.22013020833333322,-0.2650468750000008,0.25584114583333306,-0.038356770833333324,-0.23081510416666648,-0.5410364583333334,0.22215364583333339,-0.13652343750000007,0.2431848958333332,0.1,-0.014266145833333448
1544030280,-0.1356171875,19,-0.07363020833333363,0.02090624999999994,0.20210677083333367,0.49359374999999983,0.07807812500000007,-0.07114583333333359,0.042195312499999874,0.0203619791666668,0.08532812499999988,0.10555555555555556,0.06621770833333329
1544030340,0.09586979166666665,20,-0.14250000000000002,-0.30011718749999994,-0.3034166666666666,-0.6725859375000002,-0.4974166666666667,-0.25821875000000005,-0.8370755208333333,-0.2774765625000003,-0.8734140625000002,0.1111111111111111,-0.40663515625000013
1544030400,0.09288020833333323,21,0.20617708333333357,1.0681744791666665,0.27459375000000075,0.2529973958333333,0.046057291666666715,0.20231770833333337,0.5478098958333334,0.4803880208333337,0.915447916666667,0.11666666666666667,0.40868437500000016
1544030460,-0.13158333333333339,22,-0.04615104166666681,-0.8054374999999996,0.05091145833333324,0.7797916666666667,0.2761744791666667,-0.041848958333333346,0.23783593749999984,-0.41677343750000023,-0.054885416666666624,0.12222222222222222,-0.015196614583333356
1544030520,0.22478385416666674,23,-0.15842187500000018,0.5915364583333335,0.12904687500000048,-0.7251875000000002,-0.052601562499999914,0.030627604166666374,0.12732812500000001,0.21186718750000022,0.021848958333333186,0.12777777777777777,0.04008281250000001
1544030580,-0.14168489583333344,24,0.35198958333333313,-0.5567760416666658,1.1016041666666672,0.01059635416666674,-0.19722135416666642,0.2409348958333334,-0.0911328124999998,-0.08208593749999989,0.05561458333333357,0.13333333333333333,0.06918385416666685
1544030640,0.0010729166666666235,25,-0.16251041666666674,-0.07669791666666577,-1.147184895833333,-0.04469791666666668,0.2553463541666667,-1.9882812500000002,0.05637500000000033,0.47484635416666626,0.11985937499999982,0.1388888888888889,-0.2511872395833333
