unix,s1_final_EDA,minute,s2_final_EDA,s3_final_EDA,s4_final_EDA,s5_final_EDA,s6_final_EDA,s7_final_EDA,s8_final_EDA,s9_final_EDA,s10_final_EDA,test_progress,avg_EDA
1544033340,0.18942343749999999,70,0.1063343625,0.12854120833333332,0.3340668125,0.6049714708333334,0.20040670416666667,0.048037866666666665,0.6404596375,0.5345767208333334,0.20015320833333333,0.3888888888888889,0.2986971429166667
1544033400,0.1862415,71,0.10406,0.18075328333333335,0.3210681875,0.67955745,0.22658384166666667,0.04693847916666667,0.667536325,0.48994999166666664,0.20383685833333332,0.39444444444444443,0.31065259166666664
1544033460,0.18798727083333333,72,0.10566167916666666,0.19125551666666668,0.30837919583333334,0.5931950291666667,0.20725532916666667,0.05718548333333333,0.6647865041666666,0.5649295583333332,0.1819967083333333,0.4,0.30626322749999996
1544033520,0.19046986666666665,73,0.102138,0.161767075,0.3040072208333333,0.6801445208333334,0.18122219583333335,0.048443541666666666,0.6593028125,0.5225448208333333,0.20896181666666666,0.40555555555555556,0.30590018708333333
1544033580,0.18888955833333335,74,0.1158643375,0.17807834583333332,0.37334554166666667,0.6856152666666666,0.2577252666666667,0.059720595833333334,0.6064789208333333,0.590560225,0.19018067916666667,0.4111111111111111,0.32464587375
1544033640,0.18732527083333333,75,0.12495110000000001,0.21580512916666666,0.36127582083333337,0.6820553,0.25811490416666666,0.06407559583333333,0.5512629166666667,0.5785061666666667,0.20409305416666665,0.4166666666666667,0.3227465258333333
1544033700,0.18779508333333333,76,0.1435944625,0.24062176666666665,0.38547936666666666,0.6852896208333333,0.26582816249999996,0.040539470833333334,0.46460250416666665,0.6321714916666666,0.21497844583333334,0.4222222222222222,0.3260900375
1544033760,0.18488537083333334,77,0.12291695833333334,0.2656413,0.4690867625,0.739430975,0.23934680416666668,0.0393119625,0.5285859166666667,0.627793625,0.22248440833333333,0.42777777777777776,0.3439484083333334
1544033820,0.19395083333333335,78,0.11982573333333332,0.29553551666666666,0.465317975,0.7734667291666667,0.22676534583333333,0.052883862499999996,0.5835296500000001,0.6320273166666667,0.21880614166666668,0.43333333333333335,0.35621091041666664
1544033880,0.19365714583333332,79,0.11497805,0.26825216249999995,0.4646186916666667,0.6462795916666667,0.26869998333333334,0.053471000000000005,0.6303999541666666,0.6320433208333333,0.18975890416666666,0.4388888888888889,0.3462158804166667
1544033940,0.19204486666666665,80,0.11259154583333333,0.2576270875,0.49633313333333334,0.5926400291666667,0.23973648333333333,0.0675711375,0.6054803875,0.63536945,0.2289439875,0.4444444444444444,0.34283381083333336
1544034000,0.19012815416666667,81,0.11211105833333333,0.2693466625,0.42233984583333334,0.5828407916666667,0.24945149583333331,0.07908308333333333,0.49307812500000003,0.6450060958333333,0.2122718125,0.45,0.32556571250000005
1544034060,0.19332619583333333,82,0.10759437083333333,0.241054225,0.37921225000000003,0.6651074708333333,0.24296592916666665,0.07508003333333332,0.5767163958333333,0.5201970375,0.20514483749999998,0.45555555555555555,0.3206398745833333
1544034120,0.1905392125,83,0.1077705375,0.23050395833333331,0.3440866458333333,0.6952220708333333,0.210890375,0.0795047,0.7475544500000001,0.5671232624999999,0.22195058333333334,0.46111111111111114,0.3395145795833333
1544034180,0.19206622083333336,84,0.10637174583333334,0.22707619583333333,0.3749683875,0.8019888000000001,0.2173813125,0.08231181666666668,1.2384798666666665,0.5706598916666666,0.2291575958333333,0.4666666666666667,0.40404618333333336
1544034240,0.1917458625,85,0.10909456249999999,0.24561926666666667,0.4720281791666666,0.7019097208333334,0.20289946250000002,0.08736053333333334,1.7154617375,0.6662266750000001,0.21898766666666666,0.4722222222222222,0.4611333666666667
1544034300,0.1942765,86,0.11098452916666667,0.247103525,0.6527488083333334,0.65330845,0.18699794166666667,0.09079245833333333,1.6136289,0.58225255,0.21313665416666666,0.4777777777777778,0.45452303166666674
1544034360,0.1954831333333333,87,0.11325895416666666,0.21909943333333332,0.5747465208333333,0.7141106333333334,0.1747258625,0.0928151,1.2836879166666668,0.6154209291666667,0.21780250833333334,0.48333333333333334,0.42011509916666673
1544034420,0.19482103750000002,88,0.12342415833333334,0.18287830833333332,0.4862972291666667,0.6611916083333332,0.195853525,0.09599564583333334,1.0181577041666665,0.5994416250000001,0.23806225,0.4888888888888889,0.37961230916666666
